citation,adscode,comment
AMS01.2007.posfraction,2007PhLB..646..145A,
AMS02.2019.positrons,2019PhRvL.122d1102A,
AMS02.2019.electrons,2019PhRvL.122j1101A,
AMS02.2018.libeb,2018PhRvL.120b1101A,
AMS02.2017.heco,2017PhRvL.119y1101A,
AMS02.2016.pbar,2016PhRvL.117i1103A,
AMS02.2015.he,2015PhRvL.115u1101A,
AMS02.2015.protons,2015PhRvL.114q1103A,
AMS02.2013.posfraction,2013PhRvL.110n1102A,
CALET.2017.leptons,2017PhRvL.119r1101A,
DAMPE.2017.leptons,2017Natur.552...63D,
FERMI.2012.posfraction,2012PhRvL.108a1103A,
FERMI.2017.leptons,2017PhRvD..95h2007A,
HAWC.2017.tevhalos,2017Sci...358..911A,
HEAT.1995.posfraction,1995PhRvL..75..390B,
HESS.2008.leptons,2008PhRvL.101z1104A,
HESS.2009.leptons,2009A&A...508..561A,
MAGIC.2011.leptons,2011ICRC....6...47B,
MILAGRO.2009.tevsources,2009ApJ...700L.127A,
PAMELA.2009.posfraction,2009Natur.458..607A,
PAMELA.2011.electrons,2011PhRvL.106t1101A,
PAMELA.2013.positrons,2013PhRvL.111h1102A,
VERITAS.2018.leptons,2018PhRvD..98f2004A,
Aharonian1985afz,1985Afz....23..479A,"Formation of the spectrum of superhigh energy electrons in the galaxy"
Aharonian1995aa,1995A&A...294L..41A,"High energy electrons and positrons in cosmic rays as an indicator of the existence of a nearby cosmic tevatron"
Aloisio2018book,2018mmea.book....1A,"Selected Topics in Cosmic Ray Physics"
Atoyan1995prd,1995PhRvD..52.3265A,"Electrons and positrons in the galactic cosmic rays"
Amato2020arxiv,2020arXiv200104442A,"The theory of Pulsar Wind Nebulae: recent progress"
AmatoBlasi2018adspr,2018AdSpR..62.2731A,"Cosmic ray transport in the Galaxy: A review"
Amato2003aa,2003A&A...402..827A,"Signatures of high energy protons in pulsar winds"
Amato2021univ,2021Univ....7..448A,"The Crab Pulsar and Nebula as Seen in Gamma-Rays"
Bandiera2020mnras,2020MNRAS.499.2051B,"Reverberation of pulsar wind nebulae (I): impact of the medium properties and other parameters upon the extent of the compression"
Berezhko2003aa,2003A&A...410..189B,"Cosmic ray production in supernova remnants including reacceleration: The secondary to primary ratio"
Bykov2017ssrv,2017SSRv..207..235B,"Pulsar Wind Nebulae with Bow Shocks: Non-thermal Radiation and Cosmic Ray Leptons"
BlasiAmato2011assp,2011ASSP...21..624B,"Positrons from pulsar winds"
BlasiSerpico2009prl,2009PhRvL.103h1103B,
Blasi2009prl,2009PhRvL.103e1104B,"Origin of the Positron Excess in Cosmic Rays"
Blasi2010mnras,2010MNRAS.402.2807B,"Shock acceleration of electrons in the presence of synchrotron losses - I. Test-particle theory"
Blasi2012prl,2012PhRvL.109f1101B,"Spectral Breaks as a Signature of Cosmic Ray Induced Turbulence in the Galaxy"
Blasi2013aarv,2013A&ARv..21...70B,"The origin of galactic cosmic rays"
Blum2013prl,2013PhRvL.111u1101B,"AMS-02 Results Support the Secondary Origin of Cosmic Ray Positrons"
Boschini2017apj,2017ApJ...840..115B,
Boudaud2020prr,2020PhRvR...2b3022B,"AMS-02 antiprotons' consistency with a secondary astrophysical origin"
Boulares1989apj,1989ApJ...342..807B,"The Nature of the Cosmic-Ray Electron Spectrum, and Supernova Remnant Contributions"
Bresci2019mnras,2019MNRAS.488.2068B,"Effects of re-acceleration and source grammage on secondary cosmic rays spectra"
Bucciantini2011mnras,2011MNRAS.410..381B,
Cheng2001apj,2001ApJ...562..918C,
Cholis2018prd,2018PhRvD..98f3008C,"Studying the Milky Way pulsar population with cosmic-ray leptons"
Cowsik1979apj,1979ApJ...228..297C,"On the sources of cosmic ray electrons"
Cowsik2016apj,2016ApJ...827..119C,"Spectral Intensities of Antiprotons and the Nested Leaky-box Model for Cosmic Rays in the Galaxy"
Churchwell2009,2009PASP..121..213C,
Cristofari2020aph,2020APh...12302492C,
Dangelo2016prd,2016PhRvD..94h3003D,"Grammage of cosmic rays around Galactic supernova remnants"
Delahaye2010aa,2010A&A...524A..51D,"Galactic electrons and positrons at the Earth: new estimate of the primary and secondary fluxes"
derWalt1991mnras,1991MNRAS.251..142V, 
deShong1964,1964PhRvL..12....3D,
DiBernardo2011aph,2011APh....34..528D,
DiBernardo2013jcap,2013JCAP...03..036D,
Diesing2019prl,2019PhRvL.123g1101D,
Diesing2020prd,2020PhRvD.101j3030D,
DiFelice2017asi,2017ICRC...35.1073D,
DiMauro2019prd,2019PhRvD.100l3015D,"Detection of a γ -ray halo around Geminga with the Fermi-LAT data and implications for the positron flux"
Earl1961,1961PhRvL...6..125E,
Evoli2012prd,2012PhRvD..85l3511E,
Evoli2017jcap,2017JCAP...02..015E,DRAGON2code
Evoli2018jcap,2018JCAP...07..006E,DRAGON2xsecs
Evoli2019prd,2019PhRvD..99j3023E,
Evoli2020prd,2020PhRvD.101b3013E,
Evoli2020prl,2020PhRvL.125e1101E,
Evoli2021prda,2021PhRvD.103h3010E,"Galactic factories of cosmic-ray electrons and positrons"
Evoli2021prdb,2021PhRvD.104l3029E,"Stochastic nature of Galactic cosmic-ray sources"
Fang2020arxiv,2020arXiv200715601F,
FaucherGiguere2006apj,2006ApJ...643..332F,
Ferriere1998apj,1998ApJ...497..759F,
Fiori2022mnras,2022MNRAS.511.1439F,"Modelling the γ-ray pulsar wind nebulae population in our galaxy"
Fornieri2020jcap,2020JCAP...02..009F,"Features in cosmic-ray lepton data unveil the properties of nearby cosmic accelerators"
Fornieri2021prd,2021PhRvD.104j3013F,"Diffusive origin for the cosmic-ray spectral hardening reveals signatures of a nearby source in the leptons and protons data"
Funk2017book,2017hsn..book.1737F,
Gabici2019rev,2019IJMPD..2830022G,
Gaggero2013prl,2013PhRvL.111b1102G,
Gaggero2013jcap,2013JCAP...12..011G,"Model independent interpretation of recent CR lepton data after AMS-02"
Gallant2018nppp,2018NPPP..297..106G,
Giacinti2020aa,2020A&A...636A.113G,
Ginzburg1961,1961PThPS..20....1G,
Grasso2009aph,2009APh....32..140G,"On possible interpretations of the high energy electron-positron spectrum measured by the Fermi Large Area Telescope"
Grenier2015araa,2015ARA&A..53..199G,
Harding1987icrc,1987ICRC....2...92H,
Hooper2009jcap,2009JCAP...01..025H,"Pulsars as the sources of high energy cosmic ray positrons"
Hooper2017prd,2017PhRvD..96j3013H,
Jaehong2015prl,2015PhRvL.114h5003P,
Johannesson2019apj,2019ApJ...879...91J,
Kachelriess2015prl,2015PhRvL.115r1103K,
Kachelriess2018prd,2018PhRvD..97f3011K,
Kamae2006apj,2006ApJ...647..692K,
Kargaltsev2008aipc,2008AIPC..983..171K,"Pulsar Wind Nebulae in the Chandra Era"
Kiepenheuer1950,1950PhRv...79..738K,
Kobayashi2004apj,2004ApJ...601..340K,
Kotera2015jcap,2015JCAP...08..026K,
Lipari2017prd,2017PhRvD..95f3009L,"Interpretation of the cosmic ray positron and antiproton fluxes"
Lipari2019prd,2019PhRvD..99d3005L,
Lorimer2006mnras,2006MNRAS.372..777L,
LopezCoto2022arxiv,2022arXiv220206899L,"Gamma-ray halos around pulsars as the key to understanding cosmic ray transport in the Galaxy"
Malkov2013apj,2013ApJ...768...73M,"Analytic Solution for Self-regulated Collective Escape of Cosmic Rays from Their Acceleration Sites"
Manconi2017jcap,2017JCAP...01..006M,"Dipole anisotropy in cosmic electrons and positrons: inspection on local sources"
Manconi2019jcap,2019JCAP...04..024M,"Multi-messenger constraints to the local emission of cosmic-ray electrons"
