citation,adscode,comment
CTA-DM2021,2021JCAP...01..057A,
Mertsch2020arxiv,2020arXiv201215770M,
Portegies2020natas,2020NatAs...4..819P,
Palladino2020univ,2020Univ....6...30P,
Fornieri2020jcap,2020JCAP...02..009F,
SKA2020,2020PASA...37....2W,
Vittino2019prd,2019PhRvD.100d3007V,
LHAASO2019,2019arXiv190502773B,
CTA2019,2019scta.book.....C,
Zonca2019,2019JOSS....4.1298Z,
Albert2018apjb,2018ApJ...868L..20A,
Pothast2018jcap,2018JCAP...10..045P,
Ahlers2018prnp,2018PrPNP.102...73A,
Evoli2018jcap,2018JCAP...07..006E,
Gaggero2018review,2018arXiv180200636G,
Albert2018apj,2018ApJ...853L...7A,
Cerri2017jcap,2017JCAP...10..019C,
Albert2017prd,2017PhRvD..96f2001A,
Gaggero2017prl,2017PhRvL.119c1101G,
Evoli2017jcap,2017JCAP...02..015E,
Unger2017icrc,2017ICRC...35..558U,
Yao2017apj,2017ApJ...835...29Y,
Pagliaroli2016jcap,2016JCAP...11..004P,
Recchia2016mnras,2016MNRAS.462L..88R,
HI4PI2016,2016A&A...594A.116H,
Vernetto2016prd,2016PhRvD..94f3009V,
KM3NET2016,2016JPhG...43h4001A,
Yang2016prd,2016PhRvD..93l3007Y,
Batista2016jcap,2016JCAP...05..038A,
Acero2016apjs,2016ApJS..223...26A,
Gaggero2015apj,2015ApJ...815L..25G,
Sofue2015pasj,2015PASJ...67...75S,
Momcheva2015arxiv,2015arXiv150703989M,
Gaggero2015prd,2015PhRvD..91h3012G,
Kafexhiu2014prd,2014PhRvD..90l3014K,
Westerhoff2014adspr,2014AdSpR..53.1492W,
DiBernardo2013jcap,2013JCAP...03..036D,
Jansson2012apj,2012ApJ...757...14J,
Cirelli2011jcap,2011JCAP...03..051C,
Ciafaloni2011jcap,2011JCAP...03..019C,
Strong2011aa,2011A&A...534A..54S,
Pshirkov2011apj,2011ApJ...738..192P,
Longair2011book,2011hea..book.....L,
Tavani2009aa,2009A&A...502..995T,
Strong2009galprop,2009arXiv0907.0559S,
Atwood2009apj,2009ApJ...697.1071A,
Kelner2008prd,2008PhRvD..78c4013K,
Pohl2008apj,2008ApJ...677..283P,
Ferriere2007aa,2007A&A...467..611F,
Kamae2006apj,2006ApJ...647..692K,
Cavasinni2006aph,2006APh....26...41C,
Moskalenko2006apj,2006ApJ...640L.155M,
MAGIC2005,2005Ap&SS.297..245C,
HEALPIX2005,2005ApJ...622..759G,
Dame2004aspc,2004ASPC..317...66D,
Nakanishi2003pasj,2003PASJ...55..191N,
Weekes2002aph,2002APh....17..221W,
Milagro2001,2001astro.ph.10513T,
Dame2001apj,2001ApJ...547..792D,
Aharonian2000head,2000HEAD....5.4311A,
Strong2000apj,2000ApJ...537..763S,
Moskalenko2000apj,2000ApJ...528..357M,
Hunter1997apj,1997ApJ...481..205H,
Navarro1995mnras,1995MNRAS.275...56N,
Giacalone1994apj,1994ApJ...430L.137G,
Beuermann1985aa,1985A&A...153...17B,
Lebrun1982aa,1982A&A...107..390L,
Haslam1981aa,1981A&A...100..209H,
Rybicki1979book,1979rpa..book.....R,
Jackson1975book,1975clel.book.....J,
Tsai1974rvmp,1974RvMP...46..815T,
Kniffen1973apj,1973ApJ...186L.105K,
Kraushaar1972apj,1972ApJ...177..341K,
Blumenthal1970rvmp,1970RvMP...42..237B,
Wang2020apjs,2020ApJS..247...18W,
Waelkens2009aa,2009A&A...495..697W,
Moskalenko2019icrc,2019ICRC...36..111M,
Hutten2019cophc,2019CoPhC.235..336H,
Strong2004apj,2004ApJ...613..962S,
Neronov2016aph,2016APh....75...60N,
Cataldo2019jcap,2019JCAP...12..050C,
Orlando2021jcap,2021JCAP...04..004O,
Fauvet2011aa,2011A&A...526A.145F,
Sun2008aa,2008A&A...477..573S,
Sun2010raa,2010RAA....10.1287S,
Men2008aa,2008A&A...486..819M,
Hutschenreuter2021arxiv,2021arXiv210201709H,
Jaffe2011mnras,2011MNRAS.416.1152J,
Jaffe2010mnras,2010MNRAS.401.1013J,
Selig2015aa,2015A&A...581A.126S,
Kissmann2015aph,2015APh....70...39K,
Kissmann2014aph,2014APh....55...37K,
Delahaye2011aa,2011A&A...531A..37D,
