citation,adscode,comment
AMS02libeb,2018PhRvL.120b1101A,"Observation of New Properties of Secondary Cosmic Rays Lithium, Beryllium, and Boron by the Alpha Magnetic Spectrometer on the International Space Station"
AMS02results,2021PhR...894....1A,"The Alpha Magnetic Spectrometer (AMS) on the international space station: Part II - Results from the first seven years"
Alfven1988amsci,1988AmSci..76..249A,"Memoirs of a Dissident Scientist"
Alfven1949pr,1949PhRv...75..892A,"On the Origin of Cosmic Rays"
Alfven1942nat,1942Natur.150..405A,"Existence of Electromagnetic-Hydrodynamic Waves"
Beck2015aar,2015A&ARv..24....4B,"Magnetic fields in spiral galaxies"
Blasi2019prl,2019PhRvL.122e1101B,"Escape of Cosmic Rays from the Galaxy and Effects on the Circumgalactic Medium"
Evoli2018prl,2018PhRvL.121b1102E,"Origin of the Cosmic Ray Galactic Halo Driven by Advected Turbulence and Self-Generated Waves"
Evoli2019prd,2019PhRvD..99j3023E,”Galactic cosmic rays after the AMS-02 observations”
Fermi1949pr,1949PhRv...75.1169F,"On the Origin of the Cosmic Radiation"
Fermi1949icrc,1949NCim....6S.317F,"An hypothesis on the origin of the cosmic radiation"
Fick1855,1855AnP...170...59F,"Ueber Diffusion"
Ginzburg1961ptps,1961PThPS..20....1G,"Origin of Cosmic Rays"
Grenier2015araa,2015ARA&A..53..199G,"The Nine Lives of Cosmic Rays in Galaxies"
Letaw1983apjs,1983ApJS...51..271L,”Proton-nucleus total inelastic cross sections - an empirical formula for E greater than 10 MeV”
Schroer2021prd,2021PhRvD.103l3010S,”Intermediate-mass and heavy Galactic cosmic-ray nuclei: The case of new AMS-02 measurements”
Tomassetti2012apj,2012ApJ...752L..13T,"Origin of the Cosmic-Ray Spectral Hardening"
Weinrich2020aa,2020A&A...639A.131W,”Combined analysis of AMS-02 (Li,Be,B)/C, N/O, 3He, and 4He data”
